type,name,level,address,datatype,accuracy,unit,models,datarange,mask,default,smart_meter
read,total_running_time,1,5006,U32,,h,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG60KU|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|LP_P34KSG|SG50KTL-M-20|SG60KTL|SG80KTL|SG80KTL-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG111HV|SG125HV|SG125HV-20|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG3.0RS|SG4.0RS|SG5.0RS|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT,,,,
read,internal_temperature,1,5008,S16,0.1,°C,,,,,
read,total_apparent_power,1,5009,U32,,VA,SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG3.0RT|SG4.0RT|SG5.0RT|SG3.0RS|SG4.0RS|SG5.0RS|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT|SG33K3J|SG36KTL-M|SG40KTL-M|SG50KTL|SG50KTL-M|SG60KTL|SG60KTL-M|SG60KU-M|SG80KTL|SG80KTL-M|SG111HV|SG125HV|SG125HV-20|SG33CX|SG40CX|SG50CX|SG110CX|SG250HX|SG30CX|SG36CX-US|SG60CX-US|SG250HX-US|SG250HX-IN|SG25CX-SA|SG100CX|SG75CX|SG225HX,,,,
read,mppt_1_voltage,2,5011,U16,0.1,V,,,,,
read,mppt_1_current,2,5012,U16,0.1,A,,,,,
read,mppt_2_voltage,2,5013,U16,0.1,V,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|SG50KTL-M-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG3.0RS|SG4.0RS|SG5.0RS|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT|SG3K-D|SG5K-D|SG8K-D|SH6.0RS|SH10RT|SH10RT-V112|SH10RT-20|SH8.0RT|SH6.0RT|SH5.0RT|SH5.0RT-V112,,,,
read,mppt_2_current,2,5014,U16,0.1,A,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|SG50KTL-M-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG3.0RS|SG4.0RS|SG5.0RS|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT|SG3K-D|SG5K-D|SG8K-D|SH6.0RS|SH10RT|SH10RT-V112|SH10RT-20|SH8.0RT|SH6.0RT|SH5.0RT|SH5.0RT-V112,,,,
read,mppt_3_voltage,2,5015,U16,0.1,V,SG40KTL-M|SG50KTL-M|SG60KTL-M|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG50KTL-M-20|SG60KU-M|SG80KTL-M|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX,,,,
read,mppt_3_current,2,5016,U16,0.1,A,SG40KTL-M|SG50KTL-M|SG60KTL-M|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG50KTL-M-20|SG60KU-M|SG80KTL-M|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG8K-D,,,,
read,total_dc_power,2,5017,"U32"" # Documentation says Unsigned, but seems to be returning Signed 32bit",,W,,,,,
